,id,name,phonecode,created_at,updated_at
0,1,Afghanistan,93,2018-07-21 12:41:03,2023-08-09 02:34:58
1,2,Aland Islands,358,2018-07-21 12:41:03,2024-12-19 20:22:33
2,3,Albania,355,2018-07-21 12:41:03,2023-08-09 02:34:58
3,4,Algeria,213,2018-07-21 12:41:03,2023-08-09 02:34:58
4,5,American Samoa,1,2018-07-21 12:41:03,2024-12-23 15:33:12
5,6,Andorra,376,2018-07-21 12:41:03,2023-08-09 02:34:58
6,7,Angola,244,2018-07-21 12:41:03,2023-08-09 02:34:58
7,8,Anguilla,1,2018-07-21 12:41:03,2024-12-23 15:33:12
8,9,Antarctica,672,2018-07-21 12:41:03,2024-12-19 20:27:53
9,220,Togo,228,2018-07-21 12:41:03,2023-08-10 00:53:19
10,10,Antigua and Barbuda,1,2018-07-21 12:41:03,2024-09-05 16:47:03
11,11,Argentina,54,2018-07-21 12:41:03,2023-08-09 02:34:58
12,12,Armenia,374,2018-07-21 12:41:03,2023-08-09 02:34:58
13,13,Aruba,297,2018-07-21 12:41:03,2024-12-19 21:03:41
14,14,Australia,61,2018-07-21 12:41:03,2023-08-09 02:34:58
15,15,Austria,43,2018-07-21 12:41:03,2023-08-09 02:34:58
16,16,Azerbaijan,994,2018-07-21 12:41:03,2023-08-09 02:34:58
17,17,The Bahamas,1,2018-07-21 12:41:03,2024-09-05 16:47:03
18,18,Bahrain,973,2018-07-21 12:41:03,2023-08-09 02:34:58
19,19,Bangladesh,880,2018-07-21 12:41:03,2023-08-09 02:34:58
20,20,Barbados,1,2018-07-21 12:41:03,2024-09-05 16:47:03
21,21,Belarus,375,2018-07-21 12:41:03,2023-08-09 02:34:58
22,22,Belgium,32,2018-07-21 12:41:03,2023-08-09 02:34:58
23,23,Belize,501,2018-07-21 12:41:03,2023-08-09 02:34:58
24,24,Benin,229,2018-07-21 12:41:03,2023-08-09 02:34:58
25,25,Bermuda,1,2018-07-21 12:41:03,2024-12-19 21:04:08
26,26,Bhutan,975,2018-07-21 12:41:03,2023-08-09 02:34:58
27,27,Bolivia,591,2018-07-21 12:41:03,2023-08-09 02:34:58
28,28,Bosnia and Herzegovina,387,2018-07-21 12:41:03,2023-08-09 02:34:58
29,29,Botswana,267,2018-07-21 12:41:03,2023-08-11 21:01:40
30,30,Bouvet Island,0055,2018-07-21 12:41:03,2024-12-23 15:33:12
31,31,Brazil,55,2018-07-21 12:41:03,2023-08-09 02:34:58
32,32,British Indian Ocean Territory,246,2018-07-21 12:41:03,2024-12-19 21:04:08
33,33,Brunei,673,2018-07-21 12:41:03,2023-08-09 02:34:58
34,34,Bulgaria,359,2018-07-21 12:41:03,2023-08-09 02:34:58
35,35,Burkina Faso,226,2018-07-21 12:41:03,2023-08-11 21:15:55
36,36,Burundi,257,2018-07-21 12:41:03,2023-08-09 02:34:58
37,37,Cambodia,855,2018-07-21 12:41:03,2023-08-09 02:34:58
38,38,Cameroon,237,2018-07-21 12:41:03,2023-08-09 02:34:58
39,39,Canada,1,2018-07-21 12:41:03,2023-08-09 02:34:58
40,145,Monaco,377,2018-07-21 12:41:03,2023-08-11 21:15:55
41,40,Cape Verde,238,2018-07-21 12:41:03,2023-08-09 02:34:58
42,41,Cayman Islands,1,2018-07-21 12:41:03,2024-12-19 21:04:08
43,42,Central African Republic,236,2018-07-21 12:41:03,2023-08-09 02:34:58
44,43,Chad,235,2018-07-21 12:41:03,2023-08-09 02:34:58
45,44,Chile,56,2018-07-21 12:41:03,2023-08-09 02:34:58
46,45,China,86,2018-07-21 12:41:03,2023-08-09 02:34:58
47,46,Christmas Island,61,2018-07-21 12:41:03,2024-12-19 21:04:08
48,47,Cocos (Keeling) Islands,61,2018-07-21 12:41:03,2024-12-19 21:04:08
49,48,Colombia,57,2018-07-21 12:41:03,2023-08-09 02:34:58
50,49,Comoros,269,2018-07-21 12:41:03,2023-08-11 21:15:55
51,50,Congo,242,2018-07-21 12:41:03,2024-12-23 15:55:22
52,51,Democratic Republic of the Congo,243,2018-07-21 12:41:03,2023-08-09 02:34:58
53,52,Cook Islands,682,2018-07-21 12:41:03,2024-12-23 15:33:12
54,53,Costa Rica,506,2018-07-21 12:41:03,2023-08-09 02:34:58
55,54,Cote D'Ivoire (Ivory Coast),225,2018-07-21 12:41:03,2023-08-09 02:34:58
